Citation,PR.ID,Year,ES.ID,CHT.ID,Ecosystem_type,Longitude,Latitude,Study_design,Study,Continent,Region,Country,Climate,Source,Variable,Impact_type,Level_ecological_organization,Invader_1,Invader_2,Interacting_taxon,Trohic_level,nI1,mI1,sdI1,nI2,mI2,sdI2,nI1_I2,mI1_I2,sdI1_I2,nC,mC,sdC,num_shared_control,N_control_sc
Nystrom et al. 2001. Ecology 82(4): 1023–1039,PUB13,2001,128,CHT20,Pond,13.83336111,55.83336111,Experimental,Aquatic,Europe,Southern Sweden,Sweden,Tropical,Figure 4a,Macrophyte coverage (%) (July),Plant abundance,Community,Pacifastacus leniusculus,Oncorhynchus mykiss,Animal-Animal,Consumer-Consumer,5,3.31,2.839806331,5,46.24,32.19937888,5,2.16,2.482035455,5,57.26,32.60187111,1,5
Wei et al. 2020. Plant Ecology & Diversity 13: 277-287,PUB14,2020,129,CHT21,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1,N2-Bacterial OTU richness,Microbial Richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,554.75,109.5522136,3,607.25,21.21762239,3,554.75,109.5522136,3,427,81.83940066,2,1.5
Wei et al. 2020. Plant Ecology & Diversity 13: 277-287,PUB14,2020,130,CHT22,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1,N2-Bacterial OTU richness,Microbial Richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,554.75,109.5522136,3,607.25,21.21762239,3,497,75.77722283,3,427,81.83940066,2,1.5
Wei et al. 2020. Plant Ecology & Diversity 13: 277-287,PUB14,2020,131,CHT21,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1,Shannon index (N2-fixing bacterial communities),Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,4.08,0.311769145,3,4.37,0.433012702,3,3.76,0.415692194,3,4.09,0.225166605,2,1.5
Wei et al. 2020. Plant Ecology & Diversity 13: 277-287,PUB14,2020,132,CHT22,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1,Shannon index (N2-fixing bacterial communities),Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,4.08,0.311769145,3,4.37,0.433012702,3,3.93,0.225166605,3,4.09,0.225166605,2,1.5
Wei et al. 2020. Plant Ecology & Diversity 13: 277-287,PUB14,2020,133,CHT21,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1,ACE index (N2-fixing bacterial communities),Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,579.06,120.6026977,3,634.03,19.05255888,3,590.05,120.6200182,3,450.79,85.68455345,2,1.5
Wei et al. 2020. Plant Ecology & Diversity 13: 277-287,PUB14,2020,134,CHT22,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1,ACE index (N2-fixing bacterial communities),Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,579.06,120.6026977,3,634.03,19.05255888,3,527.75,88.87152694,3,450.79,85.68455345,2,1.5
Wei et al. 2020. Plant Ecology & Diversity 13: 277-287,PUB14,2020,135,CHT21,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1,Chao1 index (N2-fixing bacterial communities),Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,591.58,116.6882629,3,646.32,25.49578789,3,618.95,149.4933052,3,452.63,83.8659001,2,1.5
Wei et al. 2020. Plant Ecology & Diversity 13: 277-287,PUB14,2020,136,CHT22,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 1,Chao1 index (N2-fixing bacterial communities),Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,591.58,116.6882629,3,646.32,25.49578789,3,545.26,94.81246121,3,452.63,83.8659001,2,1.5
Oschrin and Reynolds 2019. Biol Invasions 21: 2417–2430 ,PUB15,2019,137,CHT23,Grassland,-87.4511,41.0472,Experimental,Terrestrial,Northern America,Kankakee Sands,United States of America,NA,Figure 2,Total aboveground biomass/pot(g),Plant production,Community,Cirsium arvense,Lotus corniculatus,Plant-Plant,Producer-Producer,8,9.63,0.45254834,8,14,2.48901587,8,12.43,0.509116882,8,8.01,0.650538239,3,2.666666667
Oschrin and Reynolds 2019. Biol Invasions 21: 2417–2430 ,PUB15,2019,138,CHT24,Grassland,-87.4511,41.0472,Experimental,Terrestrial,Northern America,Kankakee Sands,United States of America,NA,Figure 2,Total aboveground biomass/pot(g),Plant production,Community,Cirsium arvense,Phalaris arundinacea,Plant-Plant,Producer-Producer,8,9.63,0.45254834,8,8.97,0.565685425,8,9.2,0.735391052,8,8.01,0.650538239,3,2.666666667
Oschrin and Reynolds 2019. Biol Invasions 21: 2417–2430 ,PUB15,2019,139,CHT25,Grassland,-87.4511,41.0472,Experimental,Terrestrial,Northern America,Kankakee Sands,United States of America,NA,Figure 2,Total aboveground biomass/pot(g),Plant production,Community,Phalaris arundinacea,Lotus corniculatus,Plant-Plant,Producer-Producer,8,8.97,0.565685425,8,14,2.48901587,8,11.07,1.838477631,8,8.01,0.650538239,3,2.666666667
Oschrin and Reynolds 2019. Biol Invasions 21: 2417–2430 ,PUB15,2019,140,CHT23,Grassland,-87.4511,41.0472,Experimental,Terrestrial,Northern America,Kankakee Sands,United States of America,NA,Figure 2,Native aboveground biomass/pot(g),Plant production,Community,Cirsium arvense,Lotus corniculatus,Plant-Plant,Producer-Producer,8,0.18,0.028284271,8,0.18,0.028284271,8,0.17,0.028284271,8,0.26,0.056568542,3,2.666666667
Oschrin and Reynolds 2019. Biol Invasions 21: 2417–2430 ,PUB15,2019,141,CHT24,Grassland,-87.4511,41.0472,Experimental,Terrestrial,Northern America,Kankakee Sands,United States of America,NA,Figure 2,Native aboveground biomass/pot(g),Plant production,Community,Cirsium arvense,Phalaris arundinacea,Plant-Plant,Producer-Producer,8,0.18,0.028284271,8,0.15,0.028284271,8,0.17,0.028284271,8,0.26,0.056568542,3,2.666666667
Oschrin and Reynolds 2019. Biol Invasions 21: 2417–2430 ,PUB15,2019,142,CHT25,Grassland,-87.4511,41.0472,Experimental,Terrestrial,Northern America,Kankakee Sands,United States of America,NA,Figure 2,Native aboveground biomass/pot(g),Plant production,Community,Phalaris arundinacea,Lotus corniculatus,Plant-Plant,Producer-Producer,8,0.15,0.028284271,8,0.18,0.028284271,8,0.16,0.028284271,8,0.26,0.056568542,3,2.666666667
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,143,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Number of plant species,Plant richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,6,1.732050808,3,3.667,1.527668812,3,8,0.999393316,3,4,0.999393316,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,144,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Number of plant species,Plant richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,6,1.732050808,3,3.667,1.527668812,3,5.667,1.155277889,3,4,0.999393316,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,145,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Sum of plant individuals,Plant abundance,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,118.667,14.29461531,3,90.667,40.91796828,3,122,16.64327621,3,24,10.53606506,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,146,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Sum of plant individuals,Plant abundance,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,118.667,14.29461531,3,90.667,40.91796828,3,122,7.809817091,3,24,10.53606506,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,147,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Shannon–Wiener diversity,Plant diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,0.634,0.275396078,3,0.643,0.096994845,3,1.333,0.387979381,3,1.109,0.166276878,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,148,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Shannon–Wiener diversity,Plant diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,0.634,0.275396078,3,0.643,0.096994845,3,1.074,0.226898656,3,1.109,0.166276878,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,149,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Pielou’s evenness,Plant diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,0.347,0.103923048,3,0.567,0.173205081,3,0.64,0.161080725,3,0.56,0.245951215,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,150,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Pielou’s evenness,Plant diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,0.347,0.103923048,3,0.567,0.173205081,3,0.624,0.117779455,3,0.56,0.245951215,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,151,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Simpson dominance,Plant abundance,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,0.63,0.129903811,3,0.596,0.105655099,3,0.393,0.174937132,3,0.386,0.055425626,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,152,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Simpson dominance,Plant abundance,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,0.63,0.129903811,3,0.596,0.105655099,3,0.418,0.105655099,3,0.386,0.055425626,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,153,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Soil pH,pH ,Ecosystem,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,6.622,0.038105118,3,6.567,0.207846097,3,6.467,0.251147367,3,6.367,0.152420471,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,154,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Soil pH,pH ,Ecosystem,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,6.622,0.038105118,3,6.567,0.207846097,3,6.322,0.157616623,3,6.367,0.152420471,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,155,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Soil electrical conductivity,Salinity,Ecosystem,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,0.25,0.08660254,3,0.15,0.08660254,3,0.283,0.076210236,3,0.311,0.252879418,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,156,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Soil electrical conductivity,Salinity,Ecosystem,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,0.25,0.08660254,3,0.15,0.08660254,3,0.244,0.135099963,3,0.311,0.252879418,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,157,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 2,Fungal sequence number,Microbial Richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,18208.667,6017.897948,3,15856.667,6878.88828,3,15264.667,3503.429561,3,15796,5928.602068,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,158,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 2,Fungal sequence number,Microbial Richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,18208.667,6017.897948,3,15856.667,6878.88828,3,20174,1729.166943,3,15796,5928.602068,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,159,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 2,Fungal OTU,Microbial Richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,1032.667,147.0563097,3,1065.333,394.3377394,3,1151.667,190.6156555,3,906.667,300.8069958,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,160,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 2,Fungal OTU,Microbial Richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,1032.667,147.0563097,3,1065.333,394.3377394,3,1113,150.7715587,3,906.667,300.8069958,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,161,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 2,Fungal Shannon’s diversity index,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,4.617,0.540399852,3,4.627,0.237290961,3,5.102,0.131635861,3,3.962,1.257468886,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,162,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 2,Fungal Shannon’s diversity index,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,4.617,0.540399852,3,4.627,0.237290961,3,4.398,0.370658873,3,3.962,1.257468886,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,163,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 2,Fungal ACE index,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,2677.271,404.8512878,3,2462.982,1016.937259,3,2784.712,354.2702081,3,2071.48,523.4950361,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,164,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 2,Fungal ACE index,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,2677.271,404.8512878,3,2462.982,1016.937259,3,2641.116,497.377442,3,2071.48,523.4950361,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,165,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 2,Fungal Chao index,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,1954.283,189.7617544,3,1908.555,817.761808,3,2050.426,299.3330206,3,1603.78,441.9656725,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,166,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 2,Fungal Chao index,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,1954.283,189.7617544,3,1908.555,817.761808,3,1997.375,351.6149742,3,1603.78,441.9656725,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,167,CHT26,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 2,Fungal Simpson index,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,0.036,0.024248711,3,0.039,0.008660254,3,0.019,0.003464102,3,0.14911,0.02010911,2,1.5
Wang et al. 2018. Plant Biology 20: 151-159,PUB16,2018,168,CHT27,Unknown,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 2,Fungal Simpson index,Microbial diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,3,0.036,0.024248711,3,0.039,0.008660254,3,0.059,0.024248711,3,0.14911,0.02010911,2,1.5
Wang et al. 2020. Science of the Total Environment 716: 137128,PUB17,2020,169,CHT28,Grassland,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Plant height,Plant growth,Species,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,12,28.4,9.006664199,12,49.1,11.08512517,12,33.4,6.581793069,12,35.8,0.588897275,1,12
Wang et al. 2020. Science of the Total Environment 716: 137128,PUB17,2020,170,CHT28,Grassland,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 1,Ground diameter of the stem (mm),Plant growth,Species,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,12,2.5,1.385640646,12,2.2,0.692820323,12,1.5,0.346410162,12,1.8,0.346410162,1,12
Wang et al. 2020. Science of the Total Environment 716: 137128,PUB17,2020,171,CHT28,Grassland,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 4,Number of plant species,Plant richness,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,12,7.4,1.385640646,12,5.5,1.385640646,12,8,1.039230485,12,10.9,1.039230485,1,12
Wang et al. 2020. Science of the Total Environment 716: 137128,PUB17,2020,172,CHT28,Grassland,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 4,Shannon's diversity index,Plant diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,12,1.6,0.346410162,12,0.6,0.346410162,12,1.6,0.346410162,12,1.7,0.346410162,1,12
Wang et al. 2020. Science of the Total Environment 716: 137128,PUB17,2020,173,CHT28,Grassland,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 4,Simpson's dominance index,Plant abundance,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,12,0.7,0,12,0.3,0,12,0.7,0,12,0.7,0,1,12
Wang et al. 2020. Science of the Total Environment 716: 137128,PUB17,2020,174,CHT28,Grassland,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 4,Pielou's evenness index,Plant diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,12,0.8,0,12,0.3,0,12,0.7,0,12,0.7,0,1,12
Wang et al. 2020. Science of the Total Environment 716: 137128,PUB17,2020,175,CHT28,Grassland,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Table 4,Margalef's richness index,Plant diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,12,1.2,0.346410162,12,0.8,0.346410162,12,1.3,0.346410162,12,1.7,0.346410162,1,12
Wang et al. 2020. Science of the Total Environment 716: 137128,PUB17,2020,176,CHT28,Grassland,119.3192811,32.1751615,Observational,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 2,Mason's ? functional diversity index,Plant diversity,Community,Erigeron annuus,Solidago canadensis,Plant-Plant,Producer-Producer,12,2.37,0.935307436,12,12.57,2.944486373,12,4.05,1.316358614,12,1.89,0.658179307,1,12
Kuebbing et al. 2014. Journal of Applied Ecology 51: 124–133,PUB18,2014,177,CHT29,Forest,-83.86563889,35.95535833,Observational,Terrestrial,Northern America,"Knoxville, Tennessee",United States of America,NA,Figure 1a,Non native plant richness,Plant richness,Community,Ligustrum sinense,Lonicera maackii,Plant-Plant,Producer-Producer,9,2,0.36,9,2.18,0.39,9,4,0.72,9,2,0.63,1,9
Kuebbing et al. 2014. Journal of Applied Ecology 51: 124–133,PUB18,2014,178,CHT29,Forest,-83.86563889,35.95535833,Observational,Terrestrial,Northern America,"Knoxville, Tennessee",United States of America,NA,Figure 1b,Native plant richness,Plant richness,Community,Ligustrum sinense,Lonicera maackii,Plant-Plant,Producer-Producer,9,6.04,0.72,9,8.02,1.39,9,8.19,1.61,9,9.01,1.72,1,9
Kuebbing et al. 2014. Journal of Applied Ecology 51: 124–133,PUB18,2014,179,CHT29,Forest,-83.86563889,35.95535833,Observational,Terrestrial,Northern America,"Knoxville, Tennessee",United States of America,NA,Figure 1c,Total plant richness,Plant richness,Community,Ligustrum sinense,Lonicera maackii,Plant-Plant,Producer-Producer,9,8.02,0.53,9,10.2,1.32,9,12.23,1.73,9,11.03,1.7,1,9
Kuebbing et al. 2014. Journal of Applied Ecology 51: 124–133,PUB18,2014,180,CHT29,Forest,-83.86563889,35.95535833,Observational,Terrestrial,Northern America,"Knoxville, Tennessee",United States of America,NA,Figure2a,b-glucosidase potential activity,Microbial activity,Ecosystem,Ligustrum sinense,Lonicera maackii,Plant-Plant,Producer-Producer,9,78.9,62.43,9,82.8,63.75,9,102.31,86.85,9,36.85,28.59,1,9
Kuebbing et al. 2014. Journal of Applied Ecology 51: 124–133,PUB18,2014,181,CHT29,Forest,-83.86563889,35.95535833,Observational,Terrestrial,Northern America,"Knoxville, Tennessee",United States of America,NA,Figure2b,nagase potential activity,Microbial activity,Ecosystem,Ligustrum sinense,Lonicera maackii,Plant-Plant,Producer-Producer,9,46.72,29.91,9,62.79,49.11,9,55.95,50.16,9,55.35,75.9,1,9
Kuebbing et al. 2014. Journal of Applied Ecology 51: 124–133,PUB18,2014,182,CHT29,Forest,-83.86563889,35.95535833,Observational,Terrestrial,Northern America,"Knoxville, Tennessee",United States of America,NA,Figure2c,Phosphatase potential activity,Microbial activity,Ecosystem,Ligustrum sinense,Lonicera maackii,Plant-Plant,Producer-Producer,9,387.66,190.83,9,306.96,151.89,9,411.39,275.31,9,360.76,210.42,1,9
Kuebbing et al. 2014. Journal of Applied Ecology 51: 124–133,PUB18,2014,183,CHT29,Forest,-83.86563889,35.95535833,Observational,Terrestrial,Northern America,"Knoxville, Tennessee",United States of America,NA,Figure2d,Soil pH,pH ,Ecosystem,Ligustrum sinense,Lonicera maackii,Plant-Plant,Producer-Producer,9,6.07,0.81,9,6.33,0.6,9,6.33,0.75,9,5.81,0.87,1,9
Kuebbing et al. 2014. Journal of Applied Ecology 51: 124–133,PUB18,2014,184,CHT29,Forest,-83.86563889,35.95535833,Observational,Terrestrial,Northern America,"Knoxville, Tennessee",United States of America,NA,Figure 2e,Gravimetric water content,Soil moisture ,Ecosystem,Ligustrum sinense,Lonicera maackii,Plant-Plant,Producer-Producer,9,0.31,0.06,9,0.28,0.03,9,0.29,0.06,9,0.22,0.06,1,9
Kuebbing et al. 2014. Journal of Applied Ecology 51: 124–133,PUB18,2014,185,CHT29,Forest,-83.86563889,35.95535833,Observational,Terrestrial,Northern America,"Knoxville, Tennessee",United States of America,NA,Figure 2f,Arthopod richness,Animal richness,Community,Ligustrum sinense,Lonicera maackii,Plant-Plant,Producer-Producer,9,23.09,6.3,9,19.76,7.08,9,24.31,9.45,9,19.41,6.3,1,9
Kuebbing et al. 2016. Ecological Applications 26: 1896-1906,PUB19,2016,186,CHT30,Forest,-83.9316451,35.9544013,Experimental,Terrestrial,Northern America,"University of Tennessee, Knoxville",United States of America,NA,Table 2,Shoot mass (g) (Native community),Plant production,Community,Lonicera maackii,Ligustrum sinense,Plant-Plant,Producer-Producer,60,0.47,0.232379001,60,0.42,0.154919334,60,0.41,0.154919334,60,0.66,0.619677335,1,60
Kuebbing et al. 2016. Ecological Applications 26: 1896-1906,PUB19,2016,187,CHT30,Forest,-83.9316451,35.9544013,Experimental,Terrestrial,Northern America,"University of Tennessee, Knoxville",United States of America,NA,Table 2,Root mass (g) (Native community),Plant production,Community,Lonicera maackii,Ligustrum sinense,Plant-Plant,Producer-Producer,60,0.69,0.464758002,60,0.47,0.309838668,60,0.38,0.232379001,60,1.1,1.316814338,1,60
Johnson et al. 2009. Oecologia 159: 161-170,PUB20,2009,188,CHT31,Unknown,-89.7086233,46.008627,Experimental,Aquatic,Northern America,"Sparkling Lake, Vilas County, Wisconsin",United States of America,NA,Figure 5a,Periphyton chlorophyll a,Plant production,Community,Cipangopaludina chinensis,Orconectes rusticus,Animal-Animal,Consumer-Consumer,6,0.17,0.073484692,6,0.47,0.171464282,6,0.48,0.122474487,6,0.33,0.09797959,1,6
Johnson et al. 2009. Oecologia 159: 161-170,PUB20,2009,189,CHT31,Unknown,-89.7086233,46.008627,Experimental,Aquatic,Northern America,"Sparkling Lake, Vilas County, Wisconsin",United States of America,NA,Figure 5b,Sediment chlorophyll a,Plant production,Community,Cipangopaludina chinensis,Orconectes rusticus,Animal-Animal,Consumer-Consumer,6,3.89,1.298229564,6,6.41,1.347219359,6,5.04,2.082066281,6,5.27,1.665653025,1,6
Johnson et al. 2009. Oecologia 159: 161-170,PUB20,2009,190,CHT31,Unknown,-89.7086233,46.008627,Experimental,Aquatic,Northern America,"Sparkling Lake, Vilas County, Wisconsin",United States of America,NA,Figure 5c,N:P molar ratio,Water N/P,Ecosystem,Cipangopaludina chinensis,Orconectes rusticus,Animal-Animal,Consumer-Consumer,6,210.32,41.34738686,6,155.26,37.64865735,6,196.43,36.44840737,6,172.12,20.67369343,1,6
"Cushman and Gaffney, 2010. Biological Invasions 12: 2765–2776",PUB21,2010,191,CHT32,Riparian,-123.0256992,38.6611331,Observational,Riparian,Northern America,"Alexander Valley, Sonoma County, California, USA",United States of America,NA,Figure 2a,Plant species richness (native),Plant richness,Community,Vinca major,Arundo donax,Plant-Plant,Producer-Producer,20,2.1,0.939148551,20,0.68,0.670820393,20,0.37,0.491934955,20,10.26,1.654690303,1,20
"Cushman and Gaffney, 2010. Biological Invasions 12: 2765–2776",PUB21,2010,192,CHT32,Riparian,-123.0256992,38.6611331,Observational,Riparian,Northern America,"Alexander Valley, Sonoma County, California, USA",United States of America,NA,Figure 2b,Plant species richness (exotic),Plant richness,Community,Vinca major,Arundo donax,Plant-Plant,Producer-Producer,20,0.25,0.402492236,20,0.61,0.581377674,20,0.56,0.670820393,20,3.64,2.280789337,1,20
